rank,school,fees2017
1,St. Marys Col. Kisubi,1900000
2,Mt. St. Mary's Namagunga,1700000
3,Ndejje SS ,1530000
4,Gayaza HS,1520000
5,Kibuli SS ,1400000
6,Makerere Col. Sch.,1200000
7,St. Henrys Col. Kitovu,1000000
8,Bweranyangi Girls Sch,1000000
9,Teso Col. Aloet ,976000
10,Ntare Sch.,940000
11,Trinity Col. Nabbingo,940000
12,Maryhill HS,916000
13,Tororo Girls Sch.,900000
14,Mengo SS ,810000
15,Iganga SS,800000
16,St. Paul's Col. Mbale,584000
17,Christ The King SS Kalisizo,420000
18,Uganda Martyrs SS Namugongo,0
19,St. Marys SS Kitende,0
20,Namilyango Col.,0
21,Kings Col. Budo,0
22,Nabisunsa Girls Sch,0
23,St. Josephs SS Naggalama,0
24,St. Josephs Girls Nsambya,0
25,The Academy St Lawrence,0
26,St.Pauls Sem. Kabale,0
27,Seeta HS Mukono,0
28,Nsambya Hillside SS,0
29,St. Charles Lwanga Sem.,0
30,Kitabi Sem.,0
31,Kisubi Sem.,0
32,Immaculate Heart Girls ,0
33,Seeta HS,0
34,Bukalasa Minor Sem,0
35,Our Lady Of Africa SS Namilyango,0
36,Light Academy SS ,0
37,St. Joseph Of Nazareth HS,0
38,Mbarara HS ,0
39,London Col. Of St.lawrence,0
40,Kawempe Muslim SS,0
41,Buddo SS ,0
42,Naalya SS Namugongo,0
43,St. Joseph's Voc. Sch. Mbarara,0
44,Bp. Cipriano Kihangire SS ,0
45,Seroma Christian HS,0
46,Kiira Col. Butiki,0
47,Seeta HS Green Campus Mukono,0
48,Gombe SS,0
49,St. Joseph's Sem. Nyenga,0
50,Katikamu SS ,0
51,Nadiket Sem. Moroto,0
52,Jinja Col.,0
53,Ocer Campion Jesuit Col.,0
54,Our Lady Of Good Counsel,0
55,St. Kizito SS Kabowa,0
56,Naalya SS Bweyogerere ,0
57,Merryland HS Entebbe,0
58,St. Lawrence City. HS Horizon,0
59,Uganda Col. Kibubu,0
60,St. Mary's SS Kitende Annex,0
61,St. Augustine's Col. Wakiso,0
62,Brilliant HS Kawempe,0
63,St. Mary Goretti's Col. Katende,0
64,Namirembe Hillside HS,0
65,St. Mary's Girls' Col. Aboke,0
66,Sos Hermann Gmeiner SS,0
67,St. Kaggwa Bushenyi HS,0
68,St. Kalemba SS,0
69,Holy Cross Lake View SS Jinja,0
70,Kigezi HS,0
71,Kabojja SS,0
72,Busoga Col. Mwiri ,0
73,Rubaga Girls' SS ,0
74,Hope SS Bbira,0
75,St. Cyprian Chavanod Col.,0
76,St. Leo's Col. Kyegobe,0
77,Arch Bishop Flynn SS,0
78,Muntuyera HS Kitunga,0
79,St. Joseph's Col. Layibi,0
80,East HS Ntinda,0
81,St. Peter's Col.Tororo,0
82,Notre Dame Academy Buseesa,0
83,Blessed Sacrement SS Kimaanya,0
84,St. Julian HS,0
85,St. Andrew Kaggwa SS,0
86,SacredHeart Sem. Mubende,0
87,St. Augustine Col. Wakiso,0
88,St.Lawrence SS Ssonde,0
89,St. Daniel Comboni Col.,0
90,Stella Maris Col. Nsube,0
91,Greenhill Academy Kampala ,0
92,Mbogo HS ,0
93,Aga Khan HS,0
94,St. Kizito HS Bethany,0
95,Vienna Col. Namugongo,0
96,Migadde Col. Bombo,0
97,Mityana Modern SS ,0
98,Mariam HS Kampala ,0
99,Kabalega SS,0
100,St. John Bosco Sem. Hoima,0
